administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0.0,0.0,0.0,0.0,2.0,0.0,0.4472135954999579,0.4472135954999579,0.0,May,Android,Google Chrome,North America,Twitter,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0990195135927845,29.597297173897484,0.0,0.161245154965971,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
1.4142135623730951,9.969954864491614,0.0,0.0,4.358898943540674,19.183326093250876,0.198997487421324,0.22803508501982758,0.0,Sep,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.47213595499958,37.841775856849004,0.15748015748023622,0.1673320053068151,1.3416407864998738,Dec,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,5.744562646538029,26.343879744638983,0.11874342087037917,0.17888543819998318,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
1.0,7.937253933193772,0.0,0.0,5.385164807134504,24.06241883103193,0.1392838827718412,0.15165750888103102,0.0,Mar,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
1.7320508075688772,9.327379053088816,0.0,0.0,3.3166247903554,37.416573867739416,0.0,0.14832396974191325,0.0,Mar,Android,Google Chrome,Western Europe,Google search,New_Visitor,True,False
0.0,0.0,0.0,0.0,5.728422494044488,33.67491648096547,0.05744562646538029,0.1341640786499874,0.0,Dec,MACOS,Safari,North America,Youtube channel,New_Visitor,False,False
0.0,0.0,0.0,0.0,1.7320508075688772,4.123105625617661,0.2,0.34641016151377546,0.0,June,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,False,False
2.0,3.9749213828703582,0.0,0.0,3.3166247903554,18.439088914585774,0.0,0.12649110640673517,0.0,Aug,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.4472135954999579,0.4472135954999579,0.0,Dec,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.54983443527075,44.21538193886829,0.19519221295943134,0.232379000772445,0.0,May,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.48074069840786,37.76241517699841,0.0,0.232379000772445,0.0,May,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
2.0,12.216791722870616,0.0,0.0,5.196152422706632,33.03028912982749,0.0,0.1,9.47100839404126,Mar,Android,Google Chrome,South America,Instagram ads,Returning_Visitor,False,True
1.4142135623730951,11.390785749894517,0.0,0.0,3.605551275463989,20.639767440550294,0.11180339887498948,0.19493588689617927,0.0,Nov,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.4472135954999579,0.4472135954999579,0.0,Nov,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
1.7320508075688772,18.7136313953225,0.0,0.0,5.830951894845301,39.6232255123179,0.0,0.1341640786499874,4.658325879540846,May,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,2.6457513110645907,21.18962010041709,0.0,0.1816590212458495,0.0,Mar,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
